smiles,log_KOA
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],8.5
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,9.66852591
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,7.6
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,9.816399128
Clc1cc(Cl)c2c(Cl)ccc(Cl)c2c1,8.258491537
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,9.015820896
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,10.01008888
Clc1cc(Cl)c2c(c1)Oc1c(Cl)cc(Cl)cc1O2,9.38
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,8.48
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)cc1O2,9.279675499
Clc1cc2cc(Cl)c(Cl)cc2cc1Cl,8.403774573
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,9.872862318
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,10.19773227
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,11.43268657
Clc1cc(Cl)cc(-c2ccccc2Cl)c1,7.99
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,8.754040081
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,9.06
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,9.27
Clc1ccccc1-c1c(Cl)cccc1Cl,7.54
Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,8.48
Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,11.9
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,11.0283624
Clc1cccc2c1Oc1ccccc1O2,7.852852591
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,10.54146487
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,9.287731544
Clc1cc2c(cc1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,10.51062553
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,8.36
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,8.392339426
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,8.035675164
Clc1cc(Cl)c2cccc(Cl)c2c1,7.32
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,9.912686565
Clc1ccc2c(Cl)c(Cl)ccc2c1,7.502157224
Clc1cc(Cl)c2cc(Cl)cc(Cl)c2c1,7.897844597
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1,8.41
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,9.8
